Name,Team,POS,ADP,IP,mW,mSV,mERA,mWHIP,mSO,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
"Aaron Bummer ","CHC","RP",999,60,-5.16279768663863,-1.41030681533995,0.3234419031917356,-1.8847180569844515,-5.84090144195188,-13.975282097723175,5.491447694743614,-7.4838344029795625,"Aaron Bummer","16258",607481
"Anthony Kay ","CHW","SP",717.8599853515625,152,-1.07045163344423,-1.41030681533995,-5.8633128099684075,-7.851502764331178,-1.33506318691577,-17.530637209999533,8.95993436825506,-7.57070284174447,"Anthony Kay","20387",641743
"Jonathan Loáisiga ","ARI","RP",999,60,-5.16279768663863,-0.0205884195460648,-1.0372886552355858,-1.3661421547422408,-6.48459262124275,-14.071409537405271,5.491447694743614,-7.579961842661659,"Jonathan Loaisiga","19753",642528
"Kody Funderburk ","MIN","RP",748.510009765625,65,-5.16279768663863,-0.576475777863619,-0.5945563815612577,-2.1498145413669554,-5.62633771552159,-14.109982102952051,5.491447694743614,-7.618534408208436,"Kody Funderburk","24993",681892
"Erik Sabrowski ","CLE","RP",999,63,-5.16279768663863,-1.41030681533995,-0.4995031793455247,-2.2512063085108367,-4.83960405194385,-14.163418041778797,5.491447694743614,-7.671970347035183,"Erik Sabrowski","24978",681870
"Rhett Lowder ","CIN","SP",552.219970703125,119,-2.09353814674283,-1.41030681533995,-5.882453958240687,-4.857283802025342,-3.40917920907525,-17.652761931424056,8.95993436825506,-7.692827563168995,"Rhett Lowder","33876",695076
"Brock Stewart ","LAD","RP",999,40,-6.18588419993723,-1.41030681533995,0.36682021973084883,-0.04646826609111494,-6.91372007410333,-14.189559135740783,5.491447694743614,-7.6981114409971685,"Brock Stewart","16727",592779
"Patrick Sandoval ","BOS","SP",999,83,-4.13971117334003,-1.41030681533995,-2.810765759930174,-4.348744050525277,-4.98264653623072,-17.692174335366143,8.95993436825506,-7.732239967111086,"Patrick Sandoval","19447",663776
"Matt Festa ","CLE","RP",999,60,-5.16279768663863,-1.41030681533995,-0.5837118024264787,-1.106854203621135,-5.98394392623874,-14.247614434264934,5.491447694743614,-7.756166739521321,"Matt Festa","19330",670036
"Anthony Bender ","MIA","RP",999,61,-5.16279768663863,-1.13236313618117,-0.40444997712979164,-1.5747342222914016,-5.98394392623874,-14.258288948479736,5.491447694743614,-7.766841253736125,"Anthony Bender","19742",669622
"Brusdar Graterol ","LAD","RP",999,44,-6.18588419993723,-1.41030681533995,0.6302906681084914,0.15631526819664987,-7.48589001125077,-14.295475090222817,5.491447694743614,-7.804027395479203,"Brusdar Graterol","20367",660813
"Keegan Akin ","BAL","RP",999,66,-5.16279768663863,-0.576475777863619,-1.7760251146918922,-1.321254804431698,-5.48329523123473,-14.319848614860566,5.491447694743614,-7.828400920116952,"Keegan Akin","19362",669211
"Colin Rea ","CHC","SP",748.260009765625,87,-5.16279768663863,-1.41030681533995,-3.9080258699798547,-2.0716569072686704,-5.26873150480444,-17.821518784031543,8.95993436825506,-7.8615844157764805,"Colin Rea","12317",607067
"Emerson Hancock ","SEA","SP",733.4199829101562,79,-5.16279768663863,-1.41030681533995,-3.0742362083078176,-2.4772239758441996,-5.69785895766502,-17.822423643795616,8.95993436825506,-7.8624892755405575,"Emerson Hancock","27470",676106
"Andrew Walters ","CLE","RP",999,38,-6.18588419993723,-1.41030681533995,0.46187342194658193,-0.40714798435610194,-6.8421988319599,-14.383664409646604,5.491447694743614,-7.892216714902991,"Andrew Walters","33834",689958
"Brendon Little ","TOR","RP",748.52001953125,54,-5.16279768663863,-1.41030681533995,0.6086015098389334,-2.4481813095372016,-5.98394392623874,-14.39662822791559,5.491447694743614,-7.905180533171977,"Brendon Little","21574",663893
"Noah Cameron ","KCR","SP",298,142,-1.07045163344423,-1.41030681533995,-7.655931062935278,-5.765582088839538,-1.97875436620664,-17.881025966765634,8.95993436825506,-7.921091598510573,"Noah Cameron","30184",702070
"Tyler Alexander ","TEX","SP/RP",999,71,-5.16279768663863,-1.41030681533995,-3.6011771050631007,-1.5863512888142015,-6.1269864105256,-17.88761930638148,8.95993436825506,-7.927684938126422,"Tyler Alexander","17735",641302
"Hayden Harris ","ATL","RP",999,50,-6.18588419993723,-1.41030681533995,-0.10844579134781496,-0.8359491859772298,-5.91242268409531,-14.453008676697536,5.491447694743614,-7.961560981953921,"Hayden Harris","31913",802686
"Sean Burke ","CHW","SP",748.5599975585938,141,-2.09353814674283,-1.41030681533995,-6.928039182613751,-6.853429776895904,-0.691372007624897,-17.976685929217332,8.95993436825506,-8.01675156096227,"Sean Burke","29878",680732
"Kevin Ginkel ","ARI","RP",556.52001953125,59,-5.16279768663863,-0.854419457022396,-0.7629736277231658,-1.6761259894352867,-6.05546516838217,-14.511781929201648,5.491447694743614,-8.020334234458034,"Kevin Ginkel","19876",656464
"Ryan Thompson ","ARI","RP",748.4299926757812,63,-5.16279768663863,-1.13236313618117,-0.4995031793455247,-1.4733424551475203,-6.27002889481246,-14.53803535212531,5.491447694743614,-8.046587657381695,"Ryan Thompson","16647",657044
"Yohan Ramírez ","PIT","RP",999,56,-5.16279768663863,-1.41030681533995,0.05997145481409454,-2.087501591272215,-5.98394392623874,-14.584578564675441,5.491447694743614,-8.093130869931828,"Yohan Ramirez","19444",670990
"Jordan Hicks ","CHW","RP",999,62,-5.16279768663863,-0.854419457022396,-0.2251881518331046,-2.561190143203883,-5.84090144195188,-14.644496880649895,5.491447694743614,-8.153049185906282,"Jordan Hicks","19618",663855
"Yosver Zulueta ","SEA","RP",999,40,-6.18588419993723,-1.41030681533995,0.820397072539956,-0.8243321194544316,-7.05676255839019,-14.656888620581851,5.491447694743614,-8.165440925838238,"Yosver Zulueta","27765",691172
